# Age     d18Ow    d18Ow-   d18Ow+       RSL       RSL-       RSL+    Alt.Age1  Alt.Age2  Alt.Age3
327.5    -0.01    -0.12     0.10       0.60      13.60     -12.40       327.5    327.5    327.5
329      -0.03    -0.14     0.08       3.76      16.77      -9.23         329      329      329
330.5    -0.04    -0.15     0.07       4.68      17.69      -8.31       330.5    330.5    330.5
332      -0.03    -0.14     0.08       3.42      16.42      -9.91         332      332      332
333.5     0.05    -0.06     0.25      -5.65       7.34     -29.63       333.5    333.5    333.5
335       0.25     0.14     0.50     -30.00     -17.05     -59.65         335      335      335
336.5     0.45     0.34     0.65     -53.32     -40.40     -76.64       336.5    336.5    336.5
338       0.66     0.55     0.77     -78.22     -65.34     -91.34         338      338      338
339.5     0.84     0.73     0.95     -99.48     -86.63    -112.63       339.5    339.5    339.5
341       0.97     0.86     1.08    -114.62    -101.79    -127.79         341      341      341
342.5     1.06     0.95     1.17    -124.99    -111.95    -138.19       342.5    342.5    342.5
344       1.07     0.92     1.18    -125.84    -108.14    -139.03         344      344      344
345.5     1.00     0.86     1.11    -118.09    -101.86    -131.27       345.5    345.5    345.5
347       0.89     0.78     1.00    -105.40     -91.92    -118.57         347      347      347
348.5     0.75     0.64     0.86     -88.41     -75.54    -101.54       348.5    348.5    348.5
350       0.61     0.50     0.72     -71.41     -58.52     -84.52         350      350      350
351.5     0.72     0.59     0.83     -84.80     -69.88     -97.93       351.5    351.5    351.5
353       0.67     0.56     0.78     -79.52     -66.64     -92.64         353      353      353
354.5     0.61     0.50     0.72     -71.81     -58.92     -84.92       354.5    354.5    354.5
356       0.57     0.46     0.68     -67.67     -54.78     -80.78         356      356      356
357.5     0.52     0.41     0.63     -60.81     -47.90     -73.90       357.5    357.5    357.5
359       0.45     0.34     0.56     -53.18     -40.26     -66.26         359      359      359
360.5     0.46     0.35     0.57     -54.46     -41.55     -67.55       360.5    360.5    360.5
362       0.45     0.34     0.56     -53.58     -40.66     -66.66         362      362      362
363.5     0.43     0.32     0.54     -51.19     -38.27     -64.27       363.5    363.5    363.5
365       0.39     0.28     0.50     -46.17     -33.24     -59.24         365      365      365
366.5     0.35     0.24     0.46     -40.96     -28.03     -54.03       366.5    366.5    366.5
368       0.35     0.24     0.46     -41.75     -28.81     -54.81         368      368      368
369.5     0.37     0.26     0.48     -43.45     -30.52     -56.52       369.5    369.5    369.5
371       0.34     0.23     0.45     -40.37     -27.43     -53.43         371      371      371
372.5     0.29     0.18     0.40     -34.76     -21.81     -47.81       372.5    372.5    372.5
374       0.26     0.15     0.37     -30.37     -17.41     -43.41         374      374      374
375.5     0.23     0.12     0.38     -27.56     -14.61     -44.32       375.5    375.5    375.5
377       0.21     0.10     0.38     -25.31     -12.35     -44.32         377      377      377
378.5     0.21     0.10     0.34     -24.98     -12.02     -39.74       378.5    378.5    378.5
380       0.21     0.10     0.32     -24.65     -11.69     -37.69         380      380      380
381.5     0.18     0.07     0.29     -21.70      -8.74     -34.74       381.5    381.5    381.5
383       0.16     0.05     0.27     -18.76      -5.79     -31.79         383      383      383
384.5     0.13     0.02     0.24     -15.81      -2.84     -28.84       384.5    384.5    384.5
386       0.11     0.00     0.22     -12.87       0.11     -25.89         386      386      386
387.5     0.08    -0.03     0.19      -9.92       3.06     -22.94       387.5    387.5    387.5
389       0.05    -0.06     0.16      -6.16       6.83     -19.17         389      389      389
390.5     0.06    -0.05     0.17      -6.54       6.45     -19.55       390.5    390.5    390.5
392       0.04    -0.07     0.15      -4.78       8.21     -17.79         392      392      392
393.5     0.03    -0.08     0.14      -3.02       9.97     -16.03       393.5    393.5    393.5
395       0.01    -0.10     0.12      -1.27      11.73     -14.27         395      395      395
396.5    -0.01    -0.12     0.10       0.62      13.62     -12.38       396.5    396.5    396.5
398      -0.02    -0.13     0.09       2.57      15.57     -10.43         398      398      398
399.5    -0.04    -0.15     0.07       4.51      17.52      -8.48       399.5    399.5    399.5
401      -0.05    -0.16     0.06       6.46      19.47      -6.53         401      401      401
402.5    -0.05    -0.16     0.06       5.48      18.48      -7.52       402.5    402.5    402.5
404      -0.04    -0.15     0.07       4.49      17.50      -8.50         404      404      404
405.5    -0.04    -0.15     0.07       5.25      18.26      -7.74       405.5    405.5    405.5
407      -0.05    -0.16     0.06       6.43      19.44      -6.56         407      407      407
408.5    -0.05    -0.16     0.06       5.68      18.69      -7.31       408.5    408.5    408.5
410      -0.03    -0.14     0.08       3.71      16.72      -9.28         410      410      410
411.5    -0.01    -0.12     0.10       1.74      14.74     -11.26       411.5    411.5    411.5
413       0.00    -0.11     0.13      -0.23      12.77     -14.77         413      413      413
414.5     0.03    -0.08     0.23      -3.52       9.47     -26.74       414.5    414.5    414.5
416       0.10    -0.01     0.37     -11.69       1.29     -43.14         416      416      416
417.5     0.17     0.06     0.48     -19.86      -6.89     -56.28       417.5    417.5    417.5
419       0.24     0.13     0.56     -28.02     -15.07     -65.59         419      419      419
420.5     0.31     0.20     0.60     -36.19     -23.25     -70.47       420.5    420.5    420.5
422       0.38     0.27     0.61     -44.62     -31.68     -71.80         422      422      422
423.5     0.45     0.34     0.60     -53.10     -40.18     -70.76       423.5    423.5    423.5
425       0.52     0.41     0.63     -61.59     -48.68     -74.68         425      425      425
426.5     0.59     0.48     0.70     -70.07     -57.18     -83.18       426.5    426.5    426.5
428       0.69     0.58     0.80     -81.32     -68.45     -94.45         428      428      428
429.5     0.82     0.71     0.93     -96.60     -83.75    -109.75       429.5    429.5    429.5


