South_Africa[175,3]    40.131   -8.551  200 10
South_Africa[266,3]    15.577   -9.981  200 10
South_Africa[267,3]    19.610  -16.171  200 10
South_Africa[268,3]    11.925  -17.136  200 10
South_Africa[269,3]    24.058  -22.490  200 10
South_Africa[270,3]    15.899  -23.560  200 10
South_Africa[52,3]    23.346   -8.573  200 10
South_Africa[53,3]    27.121  -14.386  200 10
South_Africa[54,3]    31.255  -20.355  200 10
South_Africa[77,3]    27.778  -28.670  200 10
South_Africa[78,3]    19.748  -30.186  200 10
South_America_North[241,16]   -67.869    8.551  200 10
South_America_North[243,16]   -64.008    2.308  200 10
South_America_North[244,16]   -72.000    2.368  200 10
South_America_North[245,16]   -60.243   -3.845  200 10
South_America_North[246,16]   -68.114   -4.182  200 10
South_America_North[247,16]   -75.886   -4.182  200 10
South_America_North[248,16]   -56.423   -9.981  200 10
South_America_North[249,16]   -64.198  -10.656  200 10
South_America_North[250,16]   -72.000  -10.812  200 10
South_America_North[251,16]   -52.390  -16.171  200 10
South_America_North[252,16]   -60.075  -17.136  200 10
South_America_North[253,16]   -68.044  -17.452  200 10
South_America_North[254,16]   -47.942  -22.490  200 10
South_America_North[257,16]   -40.131   -8.551  200 10
South_America_North[258,16]   -43.992   -2.308  200 10
South_America_North[259,16]   -47.757    3.845  200 10
South_America_North[60,16]   -59.346    8.573  200 10
South_America_North[61,16]   -55.762    2.848  200 10
South_America_North[62,16]   -52.238   -2.848  200 10
South_America_North[63,16]   -48.654   -8.573  200 10
South_America_North[64,16]   -44.879  -14.386  200 10
South_America_North[65,16]   -40.745  -20.355  200 10
South_America_South[255,17]   -56.101  -23.560  200 10
South_America_South[256,17]   -64.089  -24.184  200 10
South_America_South[273,17]   -72.000  -52.623  200 10
South_America_South[274,17]   -66.581  -45.816  200 10
South_America_South[275,17]   -72.000  -39.046  200 10
South_America_South[276,17]   -62.745  -38.679  200 10
South_America_South[277,17]   -53.530  -37.572  200 10
South_America_South[74,17]   -68.065  -31.657  200 10
South_America_South[75,17]   -60.181  -31.171  200 10
South_America_South[76,17]   -52.252  -30.186  200 10
South_East_Asia[202,7]   112.131   -8.551  200 10
South_East_Asia[203,7]   100.008   -2.308  200 10
South_East_Asia[204,7]   108.000   -2.368  200 10
South_East_Asia[205,7]   115.992   -2.308  200 10
South_East_Asia[206,7]    96.243    3.845  200 10
South_East_Asia[207,7]   104.114    4.182  200 10
South_East_Asia[208,7]   111.886    4.182  200 10
South_East_Asia[209,7]   119.757    3.845  200 10
South_East_Asia[210,7]   100.198   10.656  200 10
South_East_Asia[211,7]   108.000   10.812  200 10
South_East_Asia[212,7]   123.577    9.981  200 10
South_East_Asia[213,7]    96.075   17.136  200 10
South_East_Asia[214,7]   104.044   17.452  200 10
South_East_Asia[215,7]   119.925   17.136  200 10
South_East_Asia[218,7]   100.089   24.184  200 10
South_East_Asia[219,7]   108.000   24.389  200 10
South_East_Asia[220,7]   115.911   24.184  200 10
South_East_Asia[57,7]   120.654   -8.573  200 10
